evento_id,data,contexto,outcome_real,probabilidade_prior,outcome_framing
fx_q1_01,2026-03-31,"DXY US Dollar Index fechou Q1 2026 acima de 105",0,0.45,"DXY > 105 fim Q1 2026?"
fx_q1_02,2026-03-31,"USD/JPY tocou 160 em algum momento Q1 2026 — pressão BoJ",1,0.55,"USD/JPY tocou 160 Q1 2026?"
fx_q1_03,2026-03-31,"EUR/USD fechou Q1 2026 acima de 1.10",1,0.50,"EUR/USD > 1.10 fim Q1 2026?"
fx_q1_04,2026-03-31,"BRL Real brasileiro caiu abaixo de 6.20 vs USD em Q1 2026",0,0.35,"USD/BRL > 6.20 Q1 2026?"
fx_q1_05,2026-03-31,"China PBoC desvalorizou yuan oficialmente em Q1 2026 (fixing > 7.30)",0,0.30,"PBoC desvalorizou CNY Q1 2026?"
fx_q1_06,2026-03-31,"BoE Bank of England intervenção formal libra Q1 2026",0,0.15,"BoE intervenção GBP Q1 2026?"
fx_q1_07,2026-02-15,"BoJ ministério finanças intervenção formal yen Q1 2026 (verbal ou compras)",1,0.50,"BoJ FX intervention Q1 2026?"
fx_q1_08,2026-03-31,"GBP/USD fechou Q1 2026 acima de 1.30",0,0.40,"GBP/USD > 1.30 fim Q1 2026?"
fx_q1_09,2026-03-31,"USD/CNY oficial cruzou 7.40 em Q1 2026",0,0.25,"USD/CNY > 7.40 Q1 2026?"
fx_q1_10,2026-03-31,"Peso argentino sofreu nova desvalorização > 15% Q1 2026",1,0.55,"ARS desval > 15% Q1 2026?"
