evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
us2016_2016-10-09_538_AL_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in AL (2016 US presidential),AL,2016,1,Donald Trump,DEM,0,-26.44,0,0.169,Hillary Clinton (DEM) vs Donald Trump in AL (2016 US presidential)
us2016_2016-10-09_538_AL_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in AL (2016 US presidential),AL,2016,1,Donald Trump,REP,0,26.44,1,0.831,Donald Trump (REP) vs Hillary Clinton in AL (2016 US presidential)
us2016_2016-10-09_538_AK_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in AK (2016 US presidential),AK,2016,1,Donald Trump,DEM,0,-6.74,0,0.416,Hillary Clinton (DEM) vs Donald Trump in AK (2016 US presidential)
us2016_2016-10-09_538_AK_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in AK (2016 US presidential),AK,2016,1,Donald Trump,REP,0,6.74,1,0.584,Donald Trump (REP) vs Hillary Clinton in AK (2016 US presidential)
us2016_2016-10-09_538_AZ_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in AZ (2016 US presidential),AZ,2016,1,Donald Trump,DEM,0,-1.02,0,0.487,Hillary Clinton (DEM) vs Donald Trump in AZ (2016 US presidential)
us2016_2016-10-09_538_AZ_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in AZ (2016 US presidential),AZ,2016,1,Donald Trump,REP,0,1.02,1,0.513,Donald Trump (REP) vs Hillary Clinton in AZ (2016 US presidential)
us2016_2016-10-09_538_AR_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in AR (2016 US presidential),AR,2016,1,Donald Trump,DEM,0,-18.91,0,0.264,Hillary Clinton (DEM) vs Donald Trump in AR (2016 US presidential)
us2016_2016-10-09_538_AR_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in AR (2016 US presidential),AR,2016,1,Donald Trump,REP,0,18.91,1,0.736,Donald Trump (REP) vs Hillary Clinton in AR (2016 US presidential)
us2016_2016-10-09_538_CA_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in CA (2016 US presidential),CA,2016,1,Hillary Clinton,DEM,0,23.38,1,0.792,Hillary Clinton (DEM) vs Donald Trump in CA (2016 US presidential)
us2016_2016-10-09_538_CA_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in CA (2016 US presidential),CA,2016,1,Hillary Clinton,REP,0,-23.38,0,0.208,Donald Trump (REP) vs Hillary Clinton in CA (2016 US presidential)
us2016_2016-10-09_538_CO_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in CO (2016 US presidential),CO,2016,1,Hillary Clinton,DEM,0,4.81,1,0.56,Hillary Clinton (DEM) vs Donald Trump in CO (2016 US presidential)
us2016_2016-10-09_538_CO_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in CO (2016 US presidential),CO,2016,1,Hillary Clinton,REP,0,-4.81,0,0.44,Donald Trump (REP) vs Hillary Clinton in CO (2016 US presidential)
us2016_2016-10-09_538_CT_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in CT (2016 US presidential),CT,2016,1,Hillary Clinton,DEM,0,10.78,1,0.635,Hillary Clinton (DEM) vs Donald Trump in CT (2016 US presidential)
us2016_2016-10-09_538_CT_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in CT (2016 US presidential),CT,2016,1,Hillary Clinton,REP,0,-10.78,0,0.365,Donald Trump (REP) vs Hillary Clinton in CT (2016 US presidential)
us2016_2016-10-09_538_DE_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in DE (2016 US presidential),DE,2016,1,Hillary Clinton,DEM,0,16.02,1,0.7,Hillary Clinton (DEM) vs Donald Trump in DE (2016 US presidential)
us2016_2016-10-09_538_DE_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in DE (2016 US presidential),DE,2016,1,Hillary Clinton,REP,0,-16.02,0,0.3,Donald Trump (REP) vs Hillary Clinton in DE (2016 US presidential)
us2016_2016-10-09_538_FL_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in FL (2016 US presidential),FL,2016,1,Donald Trump,DEM,0,3.22,0,0.54,Hillary Clinton (DEM) vs Donald Trump in FL (2016 US presidential)
us2016_2016-10-09_538_FL_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in FL (2016 US presidential),FL,2016,1,Donald Trump,REP,0,-3.22,1,0.46,Donald Trump (REP) vs Hillary Clinton in FL (2016 US presidential)
us2016_2016-10-09_538_GA_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in GA (2016 US presidential),GA,2016,1,Donald Trump,DEM,0,-3.51,0,0.456,Hillary Clinton (DEM) vs Donald Trump in GA (2016 US presidential)
us2016_2016-10-09_538_GA_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in GA (2016 US presidential),GA,2016,1,Donald Trump,REP,0,3.51,1,0.544,Donald Trump (REP) vs Hillary Clinton in GA (2016 US presidential)
us2016_2016-10-09_538_HI_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in HI (2016 US presidential),HI,2016,1,Hillary Clinton,DEM,0,26.37,1,0.83,Hillary Clinton (DEM) vs Donald Trump in HI (2016 US presidential)
us2016_2016-10-09_538_HI_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in HI (2016 US presidential),HI,2016,1,Hillary Clinton,REP,0,-26.37,0,0.17,Donald Trump (REP) vs Hillary Clinton in HI (2016 US presidential)
us2016_2016-10-09_538_ID_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in ID (2016 US presidential),ID,2016,1,Donald Trump,DEM,0,-17.52,0,0.281,Hillary Clinton (DEM) vs Donald Trump in ID (2016 US presidential)
us2016_2016-10-09_538_ID_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in ID (2016 US presidential),ID,2016,1,Donald Trump,REP,0,17.52,1,0.719,Donald Trump (REP) vs Hillary Clinton in ID (2016 US presidential)
us2016_2016-10-09_538_IL_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in IL (2016 US presidential),IL,2016,1,Hillary Clinton,DEM,0,17.28,1,0.716,Hillary Clinton (DEM) vs Donald Trump in IL (2016 US presidential)
us2016_2016-10-09_538_IL_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in IL (2016 US presidential),IL,2016,1,Hillary Clinton,REP,0,-17.28,0,0.284,Donald Trump (REP) vs Hillary Clinton in IL (2016 US presidential)
us2016_2016-10-09_538_IN_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in IN (2016 US presidential),IN,2016,1,Donald Trump,DEM,0,-8.57,0,0.393,Hillary Clinton (DEM) vs Donald Trump in IN (2016 US presidential)
us2016_2016-10-09_538_IN_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in IN (2016 US presidential),IN,2016,1,Donald Trump,REP,0,8.57,1,0.607,Donald Trump (REP) vs Hillary Clinton in IN (2016 US presidential)
us2016_2016-10-09_538_IA_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in IA (2016 US presidential),IA,2016,1,Donald Trump,DEM,0,-2.34,0,0.471,Hillary Clinton (DEM) vs Donald Trump in IA (2016 US presidential)
us2016_2016-10-09_538_IA_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in IA (2016 US presidential),IA,2016,1,Donald Trump,REP,0,2.34,1,0.529,Donald Trump (REP) vs Hillary Clinton in IA (2016 US presidential)
us2016_2016-10-09_538_KS_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in KS (2016 US presidential),KS,2016,1,Donald Trump,DEM,0,-8.37,0,0.395,Hillary Clinton (DEM) vs Donald Trump in KS (2016 US presidential)
us2016_2016-10-09_538_KS_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in KS (2016 US presidential),KS,2016,1,Donald Trump,REP,0,8.37,1,0.605,Donald Trump (REP) vs Hillary Clinton in KS (2016 US presidential)
us2016_2016-10-09_538_KY_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in KY (2016 US presidential),KY,2016,1,Donald Trump,DEM,0,-16.46,0,0.294,Hillary Clinton (DEM) vs Donald Trump in KY (2016 US presidential)
us2016_2016-10-09_538_KY_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in KY (2016 US presidential),KY,2016,1,Donald Trump,REP,0,16.46,1,0.706,Donald Trump (REP) vs Hillary Clinton in KY (2016 US presidential)
us2016_2016-10-09_538_LA_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in LA (2016 US presidential),LA,2016,1,Donald Trump,DEM,0,-12.97,0,0.338,Hillary Clinton (DEM) vs Donald Trump in LA (2016 US presidential)
us2016_2016-10-09_538_LA_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in LA (2016 US presidential),LA,2016,1,Donald Trump,REP,0,12.97,1,0.662,Donald Trump (REP) vs Hillary Clinton in LA (2016 US presidential)
us2016_2016-10-09_538_ME_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in ME (2016 US presidential),ME,2016,1,Hillary Clinton,DEM,0,6.78,1,0.585,Hillary Clinton (DEM) vs Donald Trump in ME (2016 US presidential)
us2016_2016-10-09_538_ME_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in ME (2016 US presidential),ME,2016,1,Hillary Clinton,REP,0,-6.78,0,0.415,Donald Trump (REP) vs Hillary Clinton in ME (2016 US presidential)
us2016_2016-10-09_538_MD_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in MD (2016 US presidential),MD,2016,1,Hillary Clinton,DEM,0,32.9,1,0.911,Hillary Clinton (DEM) vs Donald Trump in MD (2016 US presidential)
us2016_2016-10-09_538_MD_rep,2016-10-09,Donald Trump (REP) vs Hillary Clinton in MD (2016 US presidential),MD,2016,1,Hillary Clinton,REP,0,-32.9,0,0.089,Donald Trump (REP) vs Hillary Clinton in MD (2016 US presidential)
us2016_2016-10-09_538_MA_dem,2016-10-09,Hillary Clinton (DEM) vs Donald Trump in MA (2016 US presidential),MA,2016,1,Hillary Clinton,DEM,0,23.28,1,0.791,Hillary Clinton (DEM) vs Donald Trump in MA (2016 US presidential)
