evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
uk2019_2019-12-12_wiki_SCT_snp,2019-12-12,SNP vence Scotland (UK 2019 GE),SCT,2019,1,SNP,SNP,0,19.9,1,0.749,SNP vence Scotland (UK 2019 GE)
uk2019_2019-12-12_wiki_SCT_con,2019-12-12,CON vence Scotland (UK 2019 GE),SCT,2019,1,CON,CON,1,-19.9,0,0.251,CON vence Scotland (UK 2019 GE)
uk2019_2019-12-11_wiki_SCT_snp,2019-12-11,SNP vence Scotland (UK 2019 GE),SCT,2019,1,SNP,SNP,0,15.0,1,0.688,SNP vence Scotland (UK 2019 GE)
uk2019_2019-12-11_wiki_SCT_con,2019-12-11,CON vence Scotland (UK 2019 GE),SCT,2019,1,CON,CON,1,-15.0,0,0.312,CON vence Scotland (UK 2019 GE)
uk2019_2019-12-10_wiki_SCT_snp,2019-12-10,SNP vence Scotland (UK 2019 GE),SCT,2019,1,SNP,SNP,0,14.0,1,0.675,SNP vence Scotland (UK 2019 GE)
uk2019_2019-12-10_wiki_SCT_con,2019-12-10,CON vence Scotland (UK 2019 GE),SCT,2019,1,CON,CON,1,-14.0,0,0.325,CON vence Scotland (UK 2019 GE)
uk2019_2019-12-06_wiki_SCT_snp,2019-12-06,SNP vence Scotland (UK 2019 GE),SCT,2019,1,SNP,SNP,0,10.0,1,0.625,SNP vence Scotland (UK 2019 GE)
uk2019_2019-12-06_wiki_SCT_con,2019-12-06,CON vence Scotland (UK 2019 GE),SCT,2019,1,CON,CON,1,-10.0,0,0.375,CON vence Scotland (UK 2019 GE)
uk2019_2019-12-03_wiki_SCT_snp,2019-12-03,SNP vence Scotland (UK 2019 GE),SCT,2019,1,SNP,SNP,0,16.0,1,0.7,SNP vence Scotland (UK 2019 GE)
uk2019_2019-12-03_wiki_SCT_con,2019-12-03,CON vence Scotland (UK 2019 GE),SCT,2019,1,CON,CON,1,-16.0,0,0.3,CON vence Scotland (UK 2019 GE)
uk2019_2019-11-25_wiki_SCT_snp,2019-11-25,SNP vence Scotland (UK 2019 GE),SCT,2019,1,SNP,SNP,0,18.0,1,0.725,SNP vence Scotland (UK 2019 GE)
uk2019_2019-11-25_wiki_SCT_con,2019-11-25,CON vence Scotland (UK 2019 GE),SCT,2019,1,CON,CON,1,-18.0,0,0.275,CON vence Scotland (UK 2019 GE)
uk2019_2019-11-22_wiki_SCT_snp,2019-11-22,SNP vence Scotland (UK 2019 GE),SCT,2019,1,SNP,SNP,0,12.0,1,0.65,SNP vence Scotland (UK 2019 GE)
uk2019_2019-11-22_wiki_SCT_con,2019-11-22,CON vence Scotland (UK 2019 GE),SCT,2019,1,CON,CON,1,-12.0,0,0.35,CON vence Scotland (UK 2019 GE)
uk2019_2019-12-12_wiki_WLS_lab,2019-12-12,LAB vence Wales (UK 2019 GE),WLS,2019,1,LAB,LAB,0,4.8,1,0.56,LAB vence Wales (UK 2019 GE)
uk2019_2019-12-12_wiki_WLS_con,2019-12-12,CON vence Wales (UK 2019 GE),WLS,2019,1,CON,CON,1,-4.8,0,0.44,CON vence Wales (UK 2019 GE)
uk2019_2019-12-10_wiki_WLS_lab,2019-12-10,LAB vence Wales (UK 2019 GE),WLS,2019,1,LAB,LAB,0,9.0,1,0.613,LAB vence Wales (UK 2019 GE)
uk2019_2019-12-10_wiki_WLS_con,2019-12-10,CON vence Wales (UK 2019 GE),WLS,2019,1,CON,CON,1,-9.0,0,0.388,CON vence Wales (UK 2019 GE)
uk2019_2019-12-09_wiki_WLS_lab,2019-12-09,LAB vence Wales (UK 2019 GE),WLS,2019,1,LAB,LAB,0,3.0,1,0.537,LAB vence Wales (UK 2019 GE)
uk2019_2019-12-09_wiki_WLS_con,2019-12-09,CON vence Wales (UK 2019 GE),WLS,2019,1,CON,CON,1,-3.0,0,0.463,CON vence Wales (UK 2019 GE)
uk2019_2019-11-25_wiki_WLS_lab,2019-11-25,LAB vence Wales (UK 2019 GE),WLS,2019,1,LAB,LAB,0,6.0,1,0.575,LAB vence Wales (UK 2019 GE)
uk2019_2019-11-25_wiki_WLS_con,2019-11-25,CON vence Wales (UK 2019 GE),WLS,2019,1,CON,CON,1,-6.0,0,0.425,CON vence Wales (UK 2019 GE)
