evento_id,data,contexto,outcome_real,probabilidade_prior,outcome_framing
re_q1_01,2026-01-31,"30-year fixed mortgage rate < 6.5% em algum momento janeiro 2026",1,0.55,"30y mortgage < 6.5% jan 2026?"
re_q1_02,2026-03-31,"30-year fixed mortgage rate < 6.0% em algum momento Q1 2026",0,0.30,"30y mortgage < 6.0% Q1 2026?"
re_q1_03,2026-02-25,"Case-Shiller National Home Price Index YoY positivo dezembro 2025",1,0.70,"Case-Shiller YoY > 0 dec 2025?"
re_q1_04,2026-01-26,"US new home sales annualized > 700k em dezembro 2025 report",0,0.40,"New home sales > 700k dec 2025?"
re_q1_05,2026-03-31,"US existing home sales annualized > 4.2M em algum mês Q1 2026",1,0.55,"Existing home sales > 4.2M Q1?"
re_q1_06,2026-03-31,"Zillow median home price ZHVI YoY positivo março 2026",1,0.65,"Zillow ZHVI YoY > 0 mar 2026?"
re_q1_07,2026-03-31,"NYC median rent Manhattan > $4500 em algum mês Q1 2026",1,0.75,"NYC Manhattan rent > $4500 Q1?"
re_q1_08,2026-03-31,"China property developer (Evergrande/Country Garden/Vanke) novo default Q1 2026",1,0.55,"China developer default Q1 2026?"
re_q1_09,2026-03-31,"China new home prices 70-city YoY negativo em algum mês Q1 2026",1,0.75,"China home prices YoY < 0 Q1 2026?"
re_q1_10,2026-02-19,"NAHB Housing Market Index >= 50 em algum mês Q1 2026",0,0.45,"NAHB HMI >= 50 Q1 2026?"
