evento_id,data,contexto,outcome_real,probabilidade_prior,outcome_framing
ev01,2024-09-01,"Candidato de centro lança campanha robusta com coalizão de 8 partidos e apoio massivo em pesquisas",1,0.55,"Candidato de centro lançará campanha com coalizão de 8+ partidos?"
ev02,2024-09-15,"Debate televisivo mostra rejeição ao candidato da extrema direita após escândalo financeiro",0,0.45,"O candidato da extrema direita será rejeitado após escândalo no debate?"
ev03,2024-10-01,"Movimento popular organiza rejeição pública a candidato tradicional em crise",0,0.40,"O movimento popular conseguirá rejeitar publicamente o candidato tradicional?"
ev04,2024-10-06,"Candidato incumbente reeleito com forte apoio do setor produtivo",1,0.60,"O incumbente será reeleito com forte apoio do setor produtivo?"
ev05,2024-10-15,"Nova candidata emerge em crescimento repentino após viralização de vídeo de campanha",1,0.35,"Nova candidata crescerá subitamente após viralização de vídeo?"
ev06,2024-10-20,"Debate final sem escândalo; desempenho fraco do candidato principal",0,0.50,"Candidato principal terá desempenho fraco no debate final?"
ev07,2024-10-25,"Pesquisa boca-de-urna indica rejeição ao incumbente",0,0.48,"Boca-de-urna indicará rejeição ao incumbente?"
ev08,2024-10-27,"Apuração: candidato independente vitoriosa com apoio de jovens",1,0.30,"Candidato independente vencerá com apoio majoritário dos jovens?"
ev09,2024-11-01,"Segundo turno cancelado por falha judicial; campanha robusta do candidato A retoma",1,0.55,"O 2º turno será cancelado por falha judicial?"
ev10,2024-11-10,"Fraco desempenho econômico municipal gera perda de apoio ao prefeito eleito",0,0.42,"Prefeito eleito perderá apoio por desempenho econômico fraco?"
